,song,artist,danceability,energy,speechiness,instrumentalness,tempo,valence,hit
178,You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,0.519,0.851,0.29,0.0,123.823,0.711,1
179,Lalisa,Lisa,0.806,0.653,0.0902,0.000784,150.058,0.85,0
180,Fountains,Drake Featuring Tems,0.821,0.412,0.0341,1.64e-05,109.977,0.333,1
181,Single Saturday Night,Cole Swindell,0.623,0.79,0.0473,0.0,81.949,0.694,1
182,We Didn't Have Much,Justin Moore,0.469,0.673,0.0337,1.41e-05,175.954,0.578,1
183,Jail,Kanye West,0.458,0.571,0.0949,0.000305,110.013,0.586,1
184,Fucking Fans,Drake,0.599,0.517,0.0606,0.227,82.622,0.127,1
185,The Remorse,Drake,0.473,0.53,0.249,6.92e-06,74.732,0.637,1
186,Ok Ok,Kanye West,0.738,0.471,0.402,1.28e-06,107.98,0.283,1
187,Junya,Kanye West,0.752,0.69,0.0642,0.0,148.07,0.396,1
188,Believe What I Say,Kanye West,0.595,0.656,0.247,0.0,99.811,0.416,1
189,Jonah,Kanye West,0.459,0.431,0.256,0.0,177.3,0.128,1
190,Jesus Lord,Kanye West,0.477,0.713,0.126,0.00844,106.137,0.113,1
191,Motley Crew,Post Malone,0.797,0.631,0.0786,3.71e-06,129.915,0.288,1
192,Remote Control,Kanye West,0.792,0.548,0.082,7.26e-05,110.105,0.197,1
193,God Breathed,Kanye West,0.325,0.311,0.0442,6.74e-05,92.744,0.0789,1
194,Heartbreak Anniversary,Giveon,0.449,0.465,0.0791,1.02e-06,89.087,0.543,1
195,Forever After All,Luke Combs,0.487,0.65,0.0253,0.0,151.964,0.456,1
196,Heaven And Hell,Kanye West,0.764,0.422,0.119,0.0,82.986,0.268,1
197,24,Kanye West,0.386,0.534,0.0389,0.0,110.057,0.343,1
198,Pure Souls,Kanye West,0.381,0.528,0.0449,0.0,97.207,0.256,0
199,No Child Left Behind,Kanye West,0.161,0.327,0.0341,0.792,135.382,0.0815,0
200,Donda,Kanye West,0.534,0.491,0.0545,0.0,105.989,0.428,0
201,Keep My Spirit Alive,Kanye West,0.513,0.644,0.344,0.00033,166.35,0.087,0
202,Jail Pt 2,Kanye West,0.7,0.572,0.0515,0.0,109.985,0.686,0
203,"I Am Not A Woman, I'm A God",Halsey,0.517,0.7,0.0452,0.0385,179.986,0.518,0
204,New Again,Kanye West,0.67,0.675,0.179,0.0,90.948,0.263,0
205,Lord I Need You,Kanye West,0.711,0.428,0.307,0.0,83.036,0.197,0
206,Come To Life,Kanye West,0.44,0.465,0.0318,1.26e-06,126.937,0.241,0
207,Tell The Vision,Kanye West,0.662,0.686,0.332,5.59e-06,143.971,0.678,0
208,Brutal,Olivia Rodrigo,0.672,0.526,0.0599,1.37e-06,123.999,0.28,1
209,AM,Nio Garcia X J Balvin X Bad Bunny,0.83,0.517,0.333,8.95e-05,171.959,0.616,1
210,Repeat It,Lil Tecca & Gunna,0.407,0.884,0.0404,0.91,108.798,0.369,0
211,Matt Hardy 999,Trippie Redd Featuring Juice WRLD,0.672,0.654,0.0966,0.0,78.512,0.404,1
212,Blinding Lights,The Weeknd,0.514,0.73,0.0598,9.54e-05,171.005,0.334,1
213,Glad You Exist,Dan + Shay,0.748,0.551,0.0349,0.0,103.953,0.66,1
214,Without You,The Kid LAROI,0.662,0.413,0.0299,0.0,93.005,0.467,1
215,Astronaut In The Ocean,Masked Wolf,0.778,0.695,0.0913,0.0,149.996,0.472,1
216,Rapstar,Polo G,0.789,0.536,0.242,0.0,81.039,0.437,1
217,Famous Friends,Chris Young + Kane Brown,0.717,0.513,0.0311,1.66e-06,102.04,0.685,1
218,Lil Bit,Nelly & Florida Georgia Line,0.668,0.655,0.0361,0.0,120.035,0.801,1
219,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,0.713,0.676,0.027,0.0,99.048,0.721,1
220,Rich MF,Trippie Redd Featuring Lil Durk & Polo G,0.756,0.698,0.178,0.0,77.497,0.66,0
221,Already Won,Rod Wave Featuring Lil Durk,0.321,0.525,0.131,0.0,75.774,0.152,0
222,Betrayal,Trippie Redd Featuring Drake,0.74,0.564,0.0688,0.0,158.114,0.129,0
223,Don't Go,"Skrillex, Justin Bieber & Don Toliver",0.689,0.695,0.0429,0.0,75.05,0.359,0
224,Tombstone,Rod Wave,0.55,0.637,0.163,0.0,84.448,0.535,1
225,Visiting Hours,Ed Sheeran,0.471,0.396,0.0336,0.0,149.609,0.263,0
226,Holy Smokes,Trippie Redd Featuring Lil Uzi Vert,0.422,0.491,0.368,0.0,184.344,0.67,0
227,Miss The Rage,Trippie Redd & Playboi Carti,0.581,0.877,0.114,0.0,77.006,0.353,1
228,You,Regard x Troye Sivan x Tate McRae,0.691,0.695,0.0367,0.0,106.064,0.514,0
229,MP5,Trippie Redd Featuring SoFaygo,0.674,0.824,0.0588,0.0,150.017,0.567,0
230,Paralyzed,Sueco,0.588,0.856,0.0648,2.78e-06,150.008,0.359,0
231,I Guess I'm In Love,Clinton Kane,0.422,0.34,0.0351,1.77e-05,77.213,0.223,0
232,Get Ready,Rod Wave Featuring Kodak Black,0.425,0.672,0.245,0.0,85.801,0.15,0
233,Danny Phantom,Trippie Redd Featuring XXXTENTACION,0.634,0.804,0.477,0.0,147.259,0.809,0
234,What's Wrong,Rod Wave,0.712,0.636,0.0566,0.0,134.927,0.126,0
235,Demon Time,Trippie Redd Featuring Ski Mask The Slump God,0.718,0.684,0.248,0.0,146.084,0.856,0
236,Tick Tock,Young Thug,0.944,0.693,0.266,0.0,134.061,0.626,0
237,Permission To Dance,BTS,0.702,0.741,0.0427,0.0,124.925,0.646,1
238,Time Heals,Rod Wave,0.509,0.762,0.0829,0.0,84.847,0.317,0
239,Mind Of Melvin,YNW Melly Featuring Lil Uzi Vert,0.663,0.432,0.0382,2.62e-05,130.108,0.307,0
240,Papercuts,Machine Gun Kelly,0.528,0.627,0.0373,0.0,139.988,0.295,0
241,SUVs (Black On Black),Jack Harlow & Pooh Shiesty,0.801,0.688,0.396,0.0,162.928,0.5,0
242,Straightenin,Migos,0.847,0.629,0.102,0.0,135.976,0.109,1
243,Blame It On You,Jason Aldean,0.484,0.783,0.0308,0.000118,137.918,0.594,1
244,Hats Off,"Lil Baby, Lil Durk & Travis Scott",0.596,0.65,0.337,0.0,133.997,0.188,1
245,Over The Top,Smiley Featuring Drake,0.833,0.498,0.117,0.0,139.928,0.259,0
246,Brainwashed,Tom MacDonald,0.767,0.762,0.272,0.0,94.145,0.307,0
247,my.life,"J. Cole, 21 Savage & Morray",0.591,0.625,0.031,0.874,140.027,0.287,1
248,WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",0.427,0.849,0.348,0.00373,79.155,0.55,1
249,Favorite Crime,Olivia Rodrigo,0.369,0.272,0.0364,0.0,172.929,0.218,1
